Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$10.83,-0.17,-1.545%,41899386.00,United States,,989,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$42.48,-0.54,-1.255%,161392225.00,United States,1988,9349,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$6.08,-0.03,-0.491%,652764000.00,United States,,146906,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.743,0.0113,1.544%,8651333.00,United States,,28222,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$2.42,-0.03,-1.224%,6555025.00,,,23842,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.18,0.00,0.00%,15174814.00,United States,,16857,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.55,-0.25,-5.208%,252205822.00,,,1748,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$3.40,-0.07,-2.017%,9711678.00,China,,34175,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.4731,0.0031,0.126%,16099881.00,United States,1988,3226,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$2.53,-0.391,-13.386%,15826721.00,,2021,139277,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.78,0.00,0.00%,50060472.00,Canada,2000,34546,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$1.80,-0.03,-1.639%,22636769.00,,2025,41567,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$5.99,0.09,1.525%,284319837.00,United States,2022,145589,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$8.75,0.07,0.806%,1771000000.00,,2023,3101277,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.55,0.05,2.00%,92386097.00,United States,,6981,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$4.65,0.18,4.027%,696878607.00,Canada,,8155856,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.1764,-0.0084,-4.545%,2751303.00,,2024,11924688,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.73,-0.05,-2.809%,53968891.00,United States,,159615,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.61,0.02,1.258%,21367518.00,,2022,123733,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.50,-0.029,-1.147%,9748578.00,United States,1998,1750,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$5.29,-0.33,-5.872%,35219323.00,,2024,9554,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.972,-0.098,-9.159%,3426279.00,,2023,657765,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.17,-0.01,-0.847%,19254179.00,United States,,105829,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$21.01,-0.04,-0.19%,0.00,United States,1972,13041,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.0612,-0.0988,-0.446%,,United States,,229,,
BDL,Flanigan's Enterprises Inc. Common Stock,$30.05,1.01,3.478%,55852342.00,United States,1972,374,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$0.8113,-0.0067,-0.819%,15897170.00,Canada,,106861,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$31.95,-0.32,-0.992%,533018591.00,United States,1997,36009,Finance,Major Banks
